ID,Phylum
t644736341,Chlamydiae
t644736344,Chlamydiae
t650716021,Chlamydiae
t648276629,Chlamydiae
t645058818,Chlamydiae
t645058819,Chlamydiae
t645058820,Chlamydiae
t645058821,Chlamydiae
t637000065,Chlamydiae
t637000066,Chlamydiae
t637000067,Chlamydiae
t650716022,Chlamydiae
t637000068,Chlamydiae
t637000069,Chlamydiae
t637000070,Chlamydiae
t646862319,Chlamydiae
t637000071,Chlamydiae
t651053012,Chlamydiae
t651053013,Chlamydiae
t651053014,Chlamydiae
t650716023,Chlamydiae
t651053015,Chlamydiae
t651053016,Chlamydiae
t651324022,Chlamydiae
t650377922,Chlamydiae
t647000287,Chlamydiae
t650716071,Chlamydiae
t650716085,Chlamydiae
t646564588,Chlamydiae
t650716001,Crenarchaeota
t648028003,Crenarchaeota
t638154501,Crenarchaeota
t641228483,Crenarchaeota
t641522611,Crenarchaeota
t651324076,Crenarchaeota
t651324018,Crenarchaeota
t641522613,Crenarchaeota
t643348540,Crenarchaeota
t649633040,Crenarchaeota
t640069314,Crenarchaeota
t640753029,Crenarchaeota
t648028035,Crenarchaeota
t650716051,Crenarchaeota
t640427120,Crenarchaeota
t641228499,Crenarchaeota
t638154513,Crenarchaeota
t640427135,Crenarchaeota
t640069326,Crenarchaeota
t639633053,Crenarchaeota
t646564573,Crenarchaeota
t640069332,Crenarchaeota
t638154517,Crenarchaeota
t650377981,Crenarchaeota
t646311959,Crenarchaeota
t643692044,Crenarchaeota
t643692045,Crenarchaeota
t643692046,Crenarchaeota
t643692047,Crenarchaeota
t650377982,Crenarchaeota
t643692048,Crenarchaeota
t643692049,Crenarchaeota
t646862347,Crenarchaeota
t649990020,Crenarchaeota
t638154518,Crenarchaeota
t638154519,Crenarchaeota
t639633064,Crenarchaeota
t641522657,Crenarchaeota
t650716098,Crenarchaeota
t646564583,Crenarchaeota
t648028062,Crenarchaeota
t650377985,Crenarchaeota
t644736322,Actinobacteria
t639633001,Actinobacteria
t643886017,Actinobacteria
t640963058,Actinobacteria
t647000206,Actinobacteria
t649989901,Actinobacteria
t2512047052,Actinobacteria
t651324005,Actinobacteria
t649989902,Actinobacteria
t649989903,Actinobacteria
t649989904,Actinobacteria
t651324006,Actinobacteria
t645951824,Actinobacteria
t643886015,Actinobacteria
t649989905,Actinobacteria
t2511231151,Actinobacteria
t2508501117,Actinobacteria
t2510065062,Actinobacteria
t644736323,Actinobacteria
t645951844,Actinobacteria
t638341246,Actinobacteria
t2512564011,Actinobacteria
t2511231181,Actinobacteria
t648028006,Actinobacteria
t2507262030,Actinobacteria
t2512564010,Actinobacteria
t650716009,Actinobacteria
t646564505,Actinobacteria
t649633006,Actinobacteria
t639633005,Actinobacteria
t643348509,Actinobacteria
t650377905,Actinobacteria
t639633006,Actinobacteria
t644736327,Actinobacteria
t643886019,Actinobacteria
t648276620,Actinobacteria
t643886063,Actinobacteria
t648276621,Actinobacteria
t643692008,Actinobacteria
t639633010,Actinobacteria
t640963015,Actinobacteria
t642979361,Actinobacteria
t643348515,Actinobacteria
